SalePrice,OverallCond,OverallQual,YearBuilt,YearRemodAdd,MoSold,YrSold,LotArea,TotalBath,BedroomAbvGr,GarageCars
208500,5,7,2003,2003,2,2008,8450,2.5,3,2
181500,8,6,1976,1976,5,2007,9600,2.0,3,2
223500,5,7,2001,2002,9,2008,11250,2.5,3,2
140000,5,7,1915,1970,2,2006,9550,1.0,3,3
250000,5,8,2000,2000,12,2008,14260,2.5,4,3
143000,5,5,1993,1995,10,2009,14115,1.5,1,2
307000,5,8,2004,2005,8,2007,10084,2.0,3,2
200000,6,7,1973,1973,11,2009,10382,2.5,3,2
129900,5,7,1931,1950,4,2008,6120,2.0,2,2
118000,6,5,1939,1950,1,2008,7420,1.0,2,1
129500,5,5,1965,1965,2,2008,11200,1.0,3,1
345000,5,9,2005,2006,7,2006,11924,3.0,4,3
144000,6,5,1962,1962,9,2008,12968,1.0,2,1
279500,5,7,2006,2007,8,2007,10652,2.0,3,3
157000,5,6,1960,1960,5,2008,10920,1.5,2,1
132000,8,7,1929,2001,7,2007,6120,1.0,2,2
149000,7,6,1970,1970,3,2010,11241,1.0,2,2
90000,5,4,1967,1967,10,2006,10791,2.0,2,2
159000,5,5,2004,2004,6,2008,13695,1.5,3,2
139000,6,5,1958,1965,5,2009,7560,1.0,3,1
325300,5,8,2005,2006,11,2006,14215,3.5,4,3
139400,7,7,1930,1950,6,2007,7449,1.0,3,1
230000,5,8,2002,2002,9,2008,9742,2.0,3,2
129900,7,5,1976,1976,6,2007,4224,1.0,3,2
154000,8,5,1968,2001,5,2010,8246,1.0,3,1
256300,5,8,2007,2007,7,2009,14230,2.0,3,3
134800,7,5,1951,2000,5,2010,7200,1.0,3,2
306000,5,8,2007,2008,5,2010,11478,2.0,3,3
207500,6,5,1957,1997,12,2006,16321,1.0,2,1
68500,6,4,1927,1950,5,2008,6324,1.0,1,1
40000,4,4,1920,1950,7,2008,8500,1.0,3,1
149350,6,5,1966,2006,6,2008,8544,1.5,3,1
179900,5,8,2007,2007,1,2008,11049,2.0,3,2
165500,5,5,1959,1959,4,2010,10552,1.5,4,2
277500,5,9,2005,2005,8,2007,7313,2.0,2,2
309000,5,8,2004,2005,9,2006,13418,3.5,4,3
145000,5,5,1994,1995,6,2009,10859,1.5,3,2
153000,6,5,1954,1990,10,2009,8532,1.0,3,2
109000,7,5,1953,2007,1,2010,7922,1.0,3,1
82000,5,4,1955,1955,6,2008,6040,2.0,2,0
160000,5,6,1965,1965,12,2006,8658,2.0,3,2
170000,6,5,1959,1959,7,2007,16905,1.5,2,1
144000,7,5,1983,1983,12,2007,9180,1.0,2,2
130250,6,5,1975,1980,7,2008,9200,1.0,3,1
141000,6,5,1959,1959,5,2006,7945,1.0,3,1
319900,5,9,2005,2005,2,2010,7658,2.0,2,2
