SalePrice,OverallQual,GrLivArea,YearRemodAdd,TotalBsmtSF,1stFlrSF,BedroomAbvGr,TotalBath,TotRmsAbvGrd,GarageCars
208500,7,1710,2003,856,856,3,2.5,8,2
181500,6,1262,1976,1262,1262,3,2.0,6,2
223500,7,1786,2002,920,920,3,2.5,6,2
140000,7,1717,1970,756,961,3,1.0,7,3
250000,8,2198,2000,1145,1145,4,2.5,9,3
143000,5,1362,1995,796,796,1,1.5,5,2
307000,8,1694,2005,1686,1694,3,2.0,7,2
200000,7,2090,1973,1107,1107,3,2.5,7,2
129900,7,1774,1950,952,1022,2,2.0,8,2
118000,5,1077,1950,991,1077,2,1.0,5,1
129500,5,1040,1965,1040,1040,3,1.0,5,1
345000,9,2324,2006,1175,1182,4,3.0,11,3
144000,5,912,1962,912,912,2,1.0,4,1
279500,7,1494,2007,1494,1494,3,2.0,7,3
157000,6,1253,1960,1253,1253,2,1.5,5,1
132000,7,854,2001,832,854,2,1.0,5,2
149000,6,1004,1970,1004,1004,2,1.0,5,2
90000,4,1296,1967,0,1296,2,2.0,6,2
159000,5,1114,2004,1114,1114,3,1.5,6,2
139000,5,1339,1965,1029,1339,3,1.0,6,1
325300,8,2376,2006,1158,1158,4,3.5,9,3
139400,7,1108,1950,637,1108,3,1.0,6,1
230000,8,1795,2002,1777,1795,3,2.0,7,2
129900,5,1060,1976,1040,1060,3,1.0,6,2
154000,5,1060,2001,1060,1060,3,1.0,6,1
256300,8,1600,2007,1566,1600,3,2.0,7,3
134800,5,900,2000,900,900,3,1.0,5,2
306000,8,1704,2008,1704,1704,3,2.0,7,3
207500,5,1600,1997,1484,1600,2,1.0,6,1
68500,4,520,1950,520,520,1,1.0,4,1
40000,4,1317,1950,649,649,3,1.0,6,1
149350,5,1228,2006,1228,1228,3,1.5,6,1
179900,8,1234,2007,1234,1234,3,2.0,7,2
165500,5,1700,1959,1398,1700,4,1.5,6,2
277500,9,1561,2005,1561,1561,2,2.0,6,2
309000,8,2452,2005,1117,1132,4,3.5,9,3
145000,5,1097,1995,1097,1097,3,1.5,6,2
153000,5,1297,1990,1297,1297,3,1.0,5,2
109000,5,1057,2007,1057,1057,3,1.0,5,1
82000,4,1152,1955,0,1152,2,2.0,6,0
160000,6,1324,1965,1088,1324,3,2.0,6,2
170000,5,1328,1959,1350,1328,2,1.5,5,1
144000,5,884,1983,840,884,2,1.0,5,2
130250,5,938,1980,938,938,3,1.0,5,1
141000,5,1150,1959,1150,1150,3,1.0,6,1
319900,9,1752,2005,1752,1752,2,2.0,6,2
